Date,parks,grocery_and_pharmacy,retail_and_recreation,transit_stations,workplaces,residential,new_cases,Borough,crime
Jul,74.67741935,-11.70967742,-37.67741935,-50.83870968,-50.93548387,17.38709677,24,Richmond upon Thames,1195
Aug,56.65,-16.96551724,-25.4,-48.93548387,-52.96296296,13.06451613,106,Richmond upon Thames,1169
Sep,55.63636364,-9.034482759,-22.03333333,-42.8,-47.42857143,12.3,220,Richmond upon Thames,1109
Oct,21.29032258,-7.225806452,-29.38709677,-47.64516129,-43.41935484,14.90322581,1151,Richmond upon Thames,1061
Nov,29.73333333,-5.8,-49.13333333,-53.8,-51.8,19.23333333,917,Richmond upon Thames,996
Dec,24.4516129,-3.64516129,-45.03225806,-57.03225806,-55.48387097,20.38709677,3762,Richmond upon Thames,900
Mar,-21.48387097,-8.935483871,-34.35483871,-39.09677419,-32.61290323,13.80645161,544,Southwark,2447
Apr,-37.4,-41,-79.43333333,-81.66666667,-75.1,32.06666667,734,Southwark,1842
May,6.258064516,-29.12903226,-73.29032258,-74.5483871,-66.80645161,27.32258065,119,Southwark,2229
Jun,12.23333333,-22.16666667,-64.6,-66.4,-57.76666667,23.56666667,32,Southwark,2544
Jul,13.80645161,-20.74193548,-51.32258065,-59,-52.32258065,18,60,Southwark,2989
Aug,7.35483871,-22.77419355,-39.5483871,-53.61290323,-48.35483871,13.25806452,153,Southwark,3154
Sep,6.633333333,-15.53333333,-37.96666667,-48.76666667,-43.96666667,12.63333333,439,Southwark,2993
Oct,-14.38709677,-17.38709677,-43.16129032,-50.67741935,-40.80645161,14.61290323,1401,Southwark,2977
Nov,-15.03333333,-16.1,-58.2,-59.43333333,-48.7,19.4,1496,Southwark,2607
Dec,-19.74193548,-17.32258065,-56.48387097,-62.19354839,-50.29032258,19.58064516,7774,Southwark,2378
Mar,5.451612903,-0.612903226,-30.4516129,-34,-24.22580645,11.12903226,213,Sutton,1189
Apr,6.866666667,-36.7,-76.63333333,-70.26666667,-67.5,28.03333333,592,Sutton,867
May,61.96774194,-25.09677419,-66.96774194,-61.38709677,-57.29032258,23.35483871,156,Sutton,1015
Jun,63.03333333,-17,-55.73333333,-55.33333333,-46.2,19.63333333,38,Sutton,1104
Jul,88.51612903,-14.80645161,-32.51612903,-48.96774194,-41.93548387,14.87096774,39,Sutton,1048
Aug,81.1875,-16.5483871,-23.90909091,-48.4516129,-43.51724138,11.48387097,57,Sutton,1031
Sep,72.05,-10.66666667,-18,-42.13333333,-40.68965517,10.23333333,148,Sutton,1020
Oct,27.4516129,-10.25806452,-21.16129032,-46.25806452,-37.90322581,12.29032258,811,Sutton,1089
Nov,35.36666667,-9.633333333,-42.06666667,-52.76666667,-43.46666667,16.16666667,1335,Sutton,1172
Dec,22.61290323,-4.64516129,-33.12903226,-56.93548387,-49.67741935,18.09677419,5669,Sutton,920
Mar,-26,-9.774193548,-41.51612903,-40.90322581,-36,15.03225806,263,Tower Hamlets,2501
Apr,-54.23333333,-41.36666667,-85.36666667,-79.63333333,-79.53333333,33.23333333,415,Tower Hamlets,1911
May,-19.74193548,-30.22580645,-80.51612903,-71.16129032,-71.25806452,28.41935484,76,Tower Hamlets,2282
Jun,-8.466666667,-26.06666667,-71.26666667,-62.96666667,-61,24.46666667,38,Tower Hamlets,2534
Jul,-8.967741935,-19.09677419,-57,-57.12903226,-54.96774194,18.83870968,93,Tower Hamlets,2916
Aug,-4.129032258,-20,-44.96774194,-55,-50.58064516,13.87096774,148,Tower Hamlets,2891
Sep,-10.6,-15,-43.83333333,-49.4,-49.23333333,13.93333333,608,Tower Hamlets,3047
Oct,-30.61290323,-18.41935484,-46.58064516,-54.64516129,-46.03225806,16.03225806,2110,Tower Hamlets,2971
Nov,-27.56666667,-23.16666667,-58.9,-63.43333333,-53.96666667,21.06666667,3160,Tower Hamlets,2592
Dec,-34.74193548,-25.06451613,-62.87096774,-63.41935484,-54.03225806,20.70967742,11176,Tower Hamlets,2436
Mar,1.290322581,-1.387096774,-19.83870968,-27.61290323,-28.64516129,11.48387097,296,Waltham Forest,1931
Apr,23.43333333,-30.8,-64.16666667,-66.93333333,-72.03333333,29.06666667,536,Waltham Forest,1684
May,80.70967742,-17.83870968,-54.09677419,-55.22580645,-61.80645161,23.67741935,122,Waltham Forest,1922
Jun,79.6,-11.83333333,-40.73333333,-46.96666667,-50.7,19.1,56,Waltham Forest,2020
Jul,85.29032258,-10,-23.74193548,-42.93548387,-46.06451613,14.25806452,46,Waltham Forest,2098
Aug,68.5,-10.22580645,-13.48387097,-43.74193548,-45.25806452,10.96774194,136,Waltham Forest,2055
Sep,61.15,-5.433333333,-14.2,-38.9,-41.06666667,10.06666667,413,Waltham Forest,2038
Oct,21.87096774,-7.193548387,-18.80645161,-41.96774194,-37.64516129,11.77419355,1486,Waltham Forest,1897
Nov,23.16666667,-4.633333333,-35.46666667,-48.46666667,-44.03333333,15.93333333,2460,Waltham Forest,1933
Dec,6.419354839,-3.548387097,-32.06451613,-53.83870968,-50.03225806,17.70967742,9452,Waltham Forest,1750
Mar,1.903225806,-1.806451613,-29.5483871,-34.61290323,-34.16129032,15.12903226,461,Wandsworth,1840
Apr,-3.166666667,-35.9,-78.53333333,-77.4,-77.7,34.36666667,534,Wandsworth,1413
May,72.41935484,-22.74193548,-72.22580645,-69.38709677,-68.80645161,28.87096774,114,Wandsworth,1801
Jun,80.43333333,-13.6,-60.36666667,-58.6,-59.63333333,24.9,32,Wandsworth,2055
Jul,82.06451613,-15.70967742,-40.5483871,-51.58064516,-53.03225806,18.87096774,82,Wandsworth,2226
Aug,54.16,-21.64516129,-30.03225806,-48.25806452,-48.51612903,14.22580645,210,Wandsworth,2274
Sep,61.44,-15.9,-27.1,-39.86666667,-43.96666667,13.96666667,436,Wandsworth,2441
Oct,28.03225806,-15.48387097,-32.51612903,-44.09677419,-40.51612903,16.32258065,1696,Wandsworth,2275
Nov,26.9,-13.06666667,-51.96666667,-53.4,-48.53333333,21.6,1894,Wandsworth,2086
Dec,9.35483871,-15.25806452,-48.35483871,-56.58064516,-50.5483871,21.74193548,7758,Wandsworth,1927
Mar,-45.51612903,-25.64516129,-50.32258065,-46.35483871,-34.38709677,14.37931034,337,Westminster,4695
Apr,-76.83333333,-65,-95.2,-91.36666667,-77.33333333,34.7826087,323,Westminster,1706
May,-55.4516129,-57.29032258,-93.4516129,-87.5483871,-70.38709677,27.71428571,68,Westminster,2261
Jun,-42.46666667,-48.9,-88.16666667,-80.06666667,-60.3,23.2,45,Westminster,2989
Jul,-35.64516129,-43.87096774,-75.06451613,-71.35483871,-53.32258065,17.74193548,56,Westminster,4100
Aug,-32.96774194,-43.22580645,-64.4516129,-64.35483871,-52.4137931,13.77419355,140,Westminster,4486
Sep,-33.5,-40.9,-61.26666667,-60.46666667,-52.96551724,13.13333333,302,Westminster,4469
Oct,-51.41935484,-37.58064516,-62.93548387,-62.90322581,-47.74193548,15.12903226,1433,Westminster,4332
Nov,-56.8,-44.9,-81.66666667,-73.13333333,-55.63333333,20.2,1407,Westminster,3007
Dec,-55.83870968,-36.41935484,-73.87096774,-69.90322581,-56.29032258,19.61290323,4241,Westminster,3509
