Date,parks,grocery_and_pharmacy,retail_and_recreation,transit_stations,workplaces,residential,new_cases,Borough,crime
Mar,20.61290323,2.290322581,-31.09677419,-31.77419355,-25.38709677,11.16129032,516,Croydon,2991
Apr,55.33333333,-28.63333333,-78.86666667,-72.56666667,-68.3,27.86666667,1053,Croydon,2248
May,118.6774194,-18.22580645,-72.32258065,-64.5483871,-58.09677419,23.35483871,232,Croydon,2505
Jun,108.8666667,-12.1,-54.86666667,-54.5,-47.56666667,19.33333333,44,Croydon,2726
Jul,109.3548387,-11.58064516,-34.64516129,-47.77419355,-42.83870968,14.96774194,46,Croydon,3095
Aug,97.0625,-12.32258065,-22.41935484,-43.93548387,-40.32258065,11.35483871,117,Croydon,2925
Sep,68.25,-6.766666667,-23,-39.43333333,-32.96666667,10.16666667,421,Croydon,2793
Oct,25.29032258,-5.129032258,-26.87096774,-43.48387097,-30.64516129,12.22580645,1503,Croydon,2914
Nov,36.06666667,-5.333333333,-48.9,-50.86666667,-35.93333333,15.63333333,2369,Croydon,2635
Dec,18.70967742,-4.322580645,-38.48387097,-54.38709677,-42.48387097,17.09677419,10658,Croydon,2460
Mar,7.580645161,3.35483871,-27.32258065,-30.77419355,-26.74193548,11.80645161,419,Ealing,2366
Apr,31.66666667,-29.13333333,-73.13333333,-71.6,-70.4,28.8,779,Ealing,1991
May,112.483871,-15.41935484,-63.25806452,-62.06451613,-60.32258065,23.51612903,269,Ealing,2281
Jun,108.6666667,-8.633333333,-46.43333333,-54.5,-48.8,19.2,83,Ealing,2324
Jul,112.5483871,-10.58064516,-27.4516129,-48.09677419,-43.90322581,14.64516129,73,Ealing,2569
Aug,97.875,-15.5483871,-17.12903226,-45.32258065,-41.96774194,10.90322581,216,Ealing,2572
Sep,76.8,-10.76666667,-17.1,-38.06666667,-36.86666667,10.1,520,Ealing,2690
Oct,25.12903226,-9.870967742,-21.25806452,-40.32258065,-33.67741935,11.87096774,2586,Ealing,2753
Nov,33.06666667,-8.9,-38.93333333,-47.5,-40.2,15.83333333,3124,Ealing,2466
Dec,18.80645161,-8.580645161,-33.83870968,-51.61290323,-44.64516129,16.74193548,7765,Ealing,2171
